Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
Above 18 yrs,Good English skills - Ability to Speak & ReadCompulsory      Good Hindi skills - Ability to Speak & ReadCompulsory      Good Marathi skills - Ability to Speak & ReadCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,Airoli,,
18 - 34 yrs,Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,11:00 AM - 6:30 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory,6 days  (1),Freshers can Apply,Mumbai Central,,
18 - 40 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,,,5 days,Freshers can Apply,Vashi,,
20 - 30 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
20 - 30 yrsCompulsory,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
21 - 30 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
20 - 30 yrs,,Marksheets and DegreeCompulsory      Joining and Relieving LettersCompulsory      Salary slipsCompulsory,Under Graduation preferred,0 to 3 yrs of experience as Customer Care or IT Software - ERP / CRM in IT- Software,,,,,,,,,,
Above 18 yrsCompulsory,Fluent English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,9:00 AM - 6:00 PM(day shift)  10:00 AM - 7:00 PM(day shift)  11:00 AM - 8:00 PM(day shift)  12:00 PM - 9:00 PM(day shift)  1:00 PM - 10:00 PM(day shift)  2:00 PM - 11:00 PM(day shift)  3:00 PM - 12:00 AM(day shift)  8:00 AM - 5:00 PM(day shift),,6 days  (1),Freshers can Apply| Resume Required,Ghansoli,,
18 - 40 yrsCompulsory,,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,Airoli,,
18 - 35 yrs,Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak,Aadhar Card     Photos,10th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 5:30 PM(day shift),Computer AwarenessCompulsory      Confidence,5 days  (2),Freshers can Apply,Andheri West,,
18 - 31 yrsCompulsory,Good Hindi skills - Ability to Speak,Aadhar CardCompulsory      Pan Card,Graduation degree preferred,Freshers as Customer Care preferred,,Full Time,,,8:00 AM - 4:00 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply,Bhubaneswar,
18 - 31 yrs,Good Hindi skills - Ability to Speak,Aadhar Card     Pan Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,11:30 AM - 8:00 PM(day shift),,6 days  (sunday),Freshers can Apply,Bhubaneswar,
23 - 35 yrs,,Joining and Relieving LettersCompulsory      Marksheets and DegreeCompulsory      Salary slipsCompulsory,Under Graduation preferred,2 yrs to 4 yrs of experience as Customer Care or IT Software - ERP / CRM in IT- Software,,,,,,,,,,
18 - 28 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
18 - 34 yrs,Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Photos     Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 5:30 PM(day shift),ConfidenceCustomer RetentionCompulsory      Computer Awareness,6 days  (1),Freshers can Apply,Thane West,
19 - 30 yrsCompulsory,Fluent English skills - Ability to Speak & WriteCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Graduation degree mandatoryCompulsory,0 to 6 months of experience as Customer Care in BPO / ITES mandatoryCompulsory,,Full Time  ,,,9:30 AM - 6:00 PM(day shift),,6 days|Off Days:Sunday,Freshers can Apply 6 months experience,JP Nagar,
18 - 35 yrsCompulsory,Fluent English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift)  9:30 AM - 6:30 PM(day shift),,6 days  (1),Freshers can Apply| Resume Required,Thane,
18 - 35 yrs,Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 5:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory,6 days  (1),Freshers can Apply,Mumbai,
18 - 36 yrs,Excellent English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar Card,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply,Thane West,
18 - 35 yrs,Fluent English skills - Ability to SpeakCompulsory,Aadhar Card     Pan Card,12th pass mandatoryCompulsory, 6 months to 2 yrs of experience as Customer Care in BPO / ITES or Telecom / ISP preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift)  9:30 AM - 6:30 PM(day shift),ConfidencePersonal GroomingCompulsory      Computer AwarenessMS Word,5 days  (2),6 monthsto2 yrs experience| Resume Required,Thane,
18 - 40 yrs,Excellent English skills - Ability to Speak,Photos     Salary slips     Pan Card     Aadhar Card,12th pass preferred,Freshers as Customer Care in BPO / ITES or KPO / Research / Analytics preferred,,Full Time,,,7:30 PM - 4:30 AM(day shift)  6:30 PM - 3:30 AM(day shift)  5:30 PM - 2:30 AM(day shift),,5 days  (2),Freshers can Apply,Ghansoli,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),Customer RetentionCompulsory,6 days|Off Days:Monday,,,
18 - 30 yrs,Excellent Tamil skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,DedicationCustomer RetentionCompulsory,6 days,Freshers can Apply,Dum Dum,
18 - 30 yrs,Good English skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),,6 days  (Sunday),Freshers can Apply,Taltala,
18 - 40 yrsCompulsory,,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,,,,Freshers can Apply,Vashi,
18 - 34 yrs,Good English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,PhotosCompulsory      Marksheets and DegreeCompulsory      Pan Card     Aadhar Card,12th pass preferred,0 to 1 yr of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,9:00 AM - 6:00 PM(day shift),,6 days  (1),Freshers can Apply1 yr experience,Dum Dum,
22 - 35 yrs,Fluent English skills - Ability to Speak,,Graduation degree preferred,Freshers as Customer Care or Counselors preferred,Female preferred,Full Time,,,10:00 AM - 7:00 PM(day shift),commincationCompulsory      Computer Awareness,6 days,Freshers can Apply| Resume Required,Ramdev Nagar,
Above 18 yrs,Excellent English skills - Ability to Speak,,12th pass mandatoryCompulsory,1 yr to 2 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,,8:00 PM - 6:00 AM(night shift),,6 days  (rotational off),1 yrto2 yrs experience| Resume Required,Kolkata,,,
18 - 29 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak,,Below 10th allowed,0 to 6 months of experience as Data Entry Operator or Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply 6 months experience,Borivali,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Functional English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),DedicationHindi TypingCustomer RetentionCompulsory,6 days,Freshers can Apply,Borivali,,,
20 - 30 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,,,Graduation degree preferred,3 yrs to 4 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,,9:30 AM - 6:30 PM(day shift),,6 days  (Sunday),3 yrsto4 yrs experience| Resume Required,Koramangala,,,
18 - 24 yrsCompulsory,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 PM - 6:00 AM(night shift)  10:00 AM - 6:00 PM(day shift),,6 days,Freshers can Apply,Anand Vihar,,,
18 - 35 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:30 AM - 6:30 PM(day shift)  10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 40 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,
18 - 29 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply 6 months experience,Viman Nagar,
,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 6:30 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply,Bhubaneswar,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Ballygunge,
18 - 30 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Functional Marathi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Data Entry Operator or Back Office Executive preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply 6 months experience,Viman Nagar,
18 - 38 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,,10th pass preferred,0 to 2 yrs of experience as Customer Care in BPO / ITES or E-commerce preferred,Full Time,,7:00 AM - 3:00 PM(day shift)  10:00 AM - 6:00 PM(day shift),,5 days  (saturday sunday off),Freshers can Apply2 yrs experience,New Delhi,,,
18 - 25 yrsCompulsory,Functional Marathi skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),,5 days  (sat& sun),Freshers can Apply,Borivali,,,
18 - 38 yrs,Excellent English skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,Mumbai,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Photos     Voter ID     Aadhar Card     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationHindi TypingMS WordPersonal GroomingCustomer RetentionCompulsory,5 days,Freshers can Apply,Borivali,,,
18 - 30 yrs,Functional Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),"bpocall center""domestic bpo""Call centreBusiness Process Outsourcing (BPO)Compulsory",6 days|Off Days:Sunday,Freshers can Apply,New Delhi,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Fluent English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak     Fluent Kannada skills - Ability to Speak,Salary slips,12th pass mandatoryCompulsory,2 yrs to 7 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,,9:30 AM - 6:30 PM(day shift),,6 days  (sunday fixed off),2 yrsto7 yrs experience| Resume Required,Electronic City,,,
Above 18 yrs,,Photos     Voter ID     Passport     Pan Card     Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:30 PM(day shift),,6 days,Freshers can Apply,Kolkata,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,Photos     Marksheets and Degree     Cheque Book / Pass Book     Aadhar Card,Graduation degree preferred,Freshers as Customer Care in BPO / ITES preferred,Full Time,,9:30 AM - 7:30 PM(day shift),,6 days,Freshers can Apply| Resume Required,Kodambakkam,,,
18 - 30 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Voter ID     Aadhar Card     Pan Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,Android Phone,10:30 AM - 7:00 PM(day shift),Customer RetentionCompulsory      Customer Retention,6 days  (sunday),Freshers can Apply| Resume Required,Kolkata,,,
18 - 46 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,Aadhar Card     Voter ID     Pan Card,12th pass preferred,Freshers as Admin Executive preferred,Full Time,Android Phone,9:00 AM - 6:00 PM(day shift),Faculty ManagementCompulsory,6 days  (saturday),Freshers can Apply| Resume Required,Kolkata,,,
Above 25 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:30 AM - 6:30 PM(day shift)  10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Burdwan,,,
18 - 30 yrs,,Salary slips     Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Newtown,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Ultadanga,,,
18 - 31 yrs,Functional English skills - Ability to Speak,Aadhar Card     Pan Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:30 PM(day shift),,6 days  (sunday),Freshers can Apply| Resume Required,Bhubaneswar,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak,Aadhar Card,10th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply,Kolkata,,,
18 - 35 yrs,Functional Hindi skills - Ability to Speak,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,Additional Incentives,Full Time,9:00 AM - 8:30 PM(day shift),Customer RetentionCompulsory,6 days|Off Days:Tuesday,,,,,
18 - 28 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Hooghly,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kaikhali,,,
18 - 30 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to Speak,Voter ID,12th pass preferred,Freshers as Customer Care preferred,,Full Time,9:00 AM - 6:00 PM(day shift),,6 days  (sunday),Freshers can Apply,Bhubaneswar,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Uttarpara Kotrung,,,
18 - 30 yrs,Functional Marathi skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationHindi TypingMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply,Borivali,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,Pulikeshi Nagar,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,9:00 AM - 6:00 PM(day shift),,6 days,Freshers can Apply,Shanti Nagar,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:30 AM - 6:30 PM(day shift)  10:00 AM - 6:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Baguihati,,,
18 - 40 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Ballygunge,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Khardaha,,,
18 - 30 yrs,Good English skills - Ability to Speak & Read     Fluent Hindi skills - Ability to Speak,Photos     Pan Card     Passport     Aadhar Card,Below 10th allowed,Freshers as Admin Executive or Customer Care in Aviation / Airlines preferred,Full Time,Android Phone     Cycle,10:00 AM - 7:00 PM(day shift)  11:00 AM - 8:00 PM(day shift),Good communication skillsCompulsory      Team Work,6 days  (Alternate Sunday off),Freshers can Apply| Resume Required,Kolkata,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Functional Hindi skills - Ability to Speak,Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,Full Time,,9:00 AM - 6:30 PM(day shift),Closing SkillsCompulsory,5 days,Freshers can Apply| Resume Required,Swargate,,,
18 - 30 yrs,,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory      Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer Retention,6 days  (sunday),Freshers can Apply,Sector 2,,
18 - 28 yrs,Fluent Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply 6 months experience,Faridabad,,
18 - 35 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
23 - 30 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply,Borivali,,
18 - 29 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,5 days  (SAT & SUN),Freshers can Apply,Aundh,,
18 - 37 yrs,Excellent English skills - Ability to Speak     Good French skills - Ability to Speak,Aadhar Card,10th pass preferred, 6 months to 7 yrs of experience as Customer Care in IT- Software preferred,,Full Time,,11:00 AM - 8:00 PM(day shift),Outbound salesInternational BpoOutbound CallingOutbound Processday shiftAfter Sales ServiceBusiness Process Outsourcing (BPO) HiringCompulsory      Computer Awareness,5 days  (2),6 monthsto7 yrs experience,Salt Lake City,,
18 - 32 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,10th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (Sun & Sat),Freshers can Apply,Borivali,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrsCompulsory,Functional Marathi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory,,10th pass preferred,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,5 days  (SAT & SUN),Freshers can Apply,Viman Nagar,,
20 - 33 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,9:00 AM - 6:00 PM(day shift),,5 days  (2),Freshers can Apply,Bengaluru,,
Above 18 yrsCompulsory,Excellent English skills - Ability to Speak,Aadhar CardCompulsory,Graduation degree mandatoryCompulsory      Bachelor of Commerce (B.Com.) mandatoryCompulsory, 6 months to 3 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 5:00 PM(day shift),customer careCompulsory,5 days,6 monthsto3 yrs experience| Resume Required,Vashi,,
20 - 29 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Graduation degree preferred,Freshers as Customer Care preferred,,Full Time,,,,6 days  (alternate saturdays off),Freshers can Apply| Resume Required,Sector 18,,
Above 18 yrs,,,Graduation degree preferred,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,Bengaluru,,
18 - 32 yrs,Good Hindi skills - Ability to Speak & Read,,10th pass preferred,0 to 1 yr of experience as Customer Care in BPO / ITES preferred,,Full Time,,9:00 AM - 5:00 PM(day shift),,6 days  (saturday sunday off),Freshers can Apply1 yr experience,Ghaziabad,,
18 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,
18 - 35 yrs,,,Below 10th allowed,Freshers as Other in Hospitality / Hotels / Restaurants preferred,Full Time,,good communication skilCompulsory      Computer Assembling,,Freshers can Apply,Bhubaneswar,,,,
18 - 32 yrs,,,Below 10th allowed,Freshers as Customer Care in Hospitality / Hotels / Restaurants preferred,Full Time,,ConfidenceCompulsory      Confidence,,Freshers can Apply,Kolkata,,,,
18 - 35 yrs,Fluent Oriya skills - Ability to Speak & ReadCompulsory      Fluent English skills - Ability to Speak & Read     Good Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,Communication SkillsData EntryCompulsory,6 days  (1),Freshers can Apply| Resume Required,Jubilee Hills,,,,
18 - 30 yrs,Good English skills - Ability to Speak,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 5:30 PM(day shift),Customer RetentionCompulsory,6 days|Off Days:Monday,,,,,,
18 - 29 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,Voter ID     Aadhar Card     Pan Card,12th pass preferred,Freshers as Customer Care in Aviation / Airlines preferred,Full Time,11:00 AM - 5:30 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply| Resume Required,Kolkata,,,,
18 - 32 yrs,Good Tamil skills - Ability to SpeakCompulsory      Good English skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,Full Time,9:30 AM - 6:30 PM(day shift)  10:00 AM - 7:00 PM(day shift),Customer RetentionCompulsory,6 days,Freshers can Apply| Resume Required,Yeshwanthpur,,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Baranagar,,,,
