Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
21 - 28 yrs,Good English skills - Ability to Speak,Aadhar Card     Pan Card,Graduation degree preferred     Other Graduation preferred,0 to 1 yr of experience as Customer Care in Other preferred,,Full Time,,,9:00 AM - 6:30 PM(day shift),Computer AwarenessCommunication SkillsCompulsory      Confidence,5 days  (2),Freshers can Apply1 yr experience| Resume Required,S R Nagar,
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,,Part Time,,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationCustomer Retention,6 days,Freshers can Apply 6 months experience,Sector 63,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak,Pan Card     Aadhar Card,Graduation degree preferred     Bachelor of Commerce (B.Com.) in Commerce preferred, 6 months to 1 yr of experience as Customer Care preferred,,Full Time,,Android Phone     Bike/Scooter,9:00 AM - 8:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessPersonal GroomingCustomer RetentionCompulsory,6 days,6 monthsto1 yr experience| Resume Required,Pune,
18 - 28 yrs,,,12th pass preferred,0 to 1 yr of experience as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply1 yr experience,Chhattarpur,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Kalyan Nagar,
18 - 27 yrs,Fluent Tamil skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrsCompulsory,,,10th pass preferred,Freshers as Other or Back Office Executive preferred,,Full Time,,,10:00 AM - 6:30 PM(day shift),,5 days|Off Days:Sunday,Freshers can Apply,Bandra West,
18 - 25 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Customer Care preferred,,Full Time,,10:00 AM - 4:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply 6 months experience,Hauz Khas,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Fluent English skills - Ability to Speak     Fluent Kannada skills - Ability to Speak     Fluent Hindi skills - Ability to Speak,,Graduation degree preferred,3 yrs to 4 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,9:30 AM - 6:30 PM(day shift),,6 days  (Sunday),3 yrsto4 yrs experience| Resume Required,Koramangala,,
18 - 28 yrsCompulsory,Good English skills - Ability to Read     Excellent Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care in Wellness / Fitness / Sports / Beauty preferred,Female preferred,Full Time,,,,,Freshers can Apply| Resume Required,Sarabha Nagar,,
18 - 25 yrsCompulsory,,,Below 10th allowed,0 to 6 months of experience as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,5 days  (sat& sun),Freshers can Apply 6 months experience,Sangamvadi,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to SpeakCompulsory      Good English skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,6 days,Freshers can Apply,New Delhi,,
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply 6 months experience,Saket,,
18 - 35 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,Full Time,,,10:00 AM - 6:00 PM(day shift),good communication skillCompulsory,6 days  (1),Freshers can Apply 6 months experience,Garia,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Data Entry Operator or Customer Care preferred,Full Time,,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,5 days|Off Days:Sunday,Freshers can Apply 6 months experience,Hauz Khas,,
18 - 38 yrs,,,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES or Advertising / Media / PR preferred,Full Time,,,9:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply| Resume Required,Majiwada,,
18 - 30 yrs,Good Hindi skills - Ability to SpeakCompulsory      Good English skills - Ability to SpeakCompulsory,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,,,6 days,Freshers can Apply,New Delhi,,
18 - 29 yrsCompulsory,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak,Salary slips     Pan Card     Photos     Voter ID     Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,10:00 AM - 7:00 PM(day shift),ConfidenceDedicationPersonal GroomingCompulsory      Quantitative AptitudeConfidenceDedication,6 days,Freshers can Apply| Resume Required,Rohini,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrsCompulsory,Excellent English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,,ConfidencePersonal GroomingCustomer RetentionCompulsory,6 days,Freshers can Apply,Ghansoli,
18 - 30 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,,9:30 AM - 6:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kukatpally,
18 - 35 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),good communication skillCompulsory,6 days  (1),Freshers can Apply 6 months experience,Dum Dum,
Above 18 yrs,Fluent English skills - Ability to Speak & Read     Fluent Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Yelahanka,
