Age,Communication,Documents,Education,Experience,Gender,Job Type,Others,Ownership,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
Above 18 yrs,,,Graduation degree preferred,1 yr to 2 yrs of experience as Admin Executive in Retail / Wholesale or Textile / Garment / Fashion preferred,Female preferred,Full Time,,,9:30 AM - 6:30 PM(day shift),customer careBack officeadministrationFashion DesignCompulsory,6 days,1 yrto2 yrs experience| Resume Required,Shastri Nagar,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrsCompulsory,Functional Hindi skills - Ability to Speak,,,,,,,,,,,,,,
Above 23 yrs,Excellent Kannada skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak     Good English skills - Ability to Speak,Aadhar Card     Pan Card,Below 10th allowed,Freshers as Back Office Executive in BPO / ITES preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeTypingWord ProcessingCustomer AnalysisCompulsory      punctualhardworkingdedicatedAmbitious,5 days  (SAT-SUN),Freshers can Apply| Resume Required,Karve Nagar,,
,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak,,12th pass preferred,Freshers as Admin Executive in Oil & Gas / Power / Utilities preferred,Male preferred,Full Time,,,10:00 AM - 6:30 PM(day shift),,6 days  (Sunday),Freshers can Apply| Resume Required,Mumbai,,
18 - 25 yrsCompulsory,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrs,,Photos     Aadhar Card,Graduation degree preferred, 6 months to 1 yr of experience as Admin Executive in Banking / Financial Services / Insurance preferred,,Full Time,,,9:30 AM - 6:30 PM(day shift),ms.officeCompulsory,6 days,6 monthsto1 yr experience| Resume Required,Governorpet,,
